Title,Date
"No Strings Attached","06/02/2020"
"Clueless","06/02/2020"
"You: Season 1: The Captain","05/02/2020"
"You: Season 1: Maybe","05/02/2020"
"Lady Bird","04/02/2020"
"The Good Place: Season 4: Whenever You're Ready","04/02/2020"
"The Good Place: Season 4: Patty","04/02/2020"
"The Good Place: Season 4: Mondays, Am I Right?","04/02/2020"
"Fifty Shades of Grey","02/02/2020"
"Below Her Mouth","02/02/2020"
"You: Season 2: Love, Actually","01/02/2020"
"You: Season 2: P.I. Joe","01/02/2020"
"You: Season 2: Fear and Loathing in Beverly Hills","01/02/2020"
"You: Season 2: Ex-istential Crisis","31/01/2020"
"You: Season 2: Farewell, My Bunny","29/01/2020"
"You: Season 2: Have a Good Wellkend, Joe!","28/01/2020"
"Power: Season 6: Episode 14","27/01/2020"
"You: Season 2: The Good, the Bad, & the Hendy","26/01/2020"
"Look Away","26/01/2020"
"Winx Club: Season 7: The Alfea Natural Park","26/01/2020"
"Sex Education: Season 2: Episode 8","26/01/2020"
"Sex Education: Season 2: Episode 7","26/01/2020"
"Sex Education: Season 2: Episode 6","25/01/2020"
"Sex Education: Season 2: Episode 5","25/01/2020"
"On My Block: Season 1: Chapter Nine","25/01/2020"
"On My Block: Season 1: Chapter Eight","25/01/2020"
"On My Block: Season 1: Chapter Four","25/01/2020"
"On My Block: Season 1: Chapter Three","25/01/2020"
"On My Block: Season 1: Chapter Two","25/01/2020"
"Sex Education: Season 2: Episode 4","24/01/2020"
"You: Season 2: What Are Friends For?","24/01/2020"
"Sex Education: Season 2: Episode 3","21/01/2020"
"Teen Wolf: Season 5: Strange Frequencies","21/01/2020"
"Power: Season 6: Episode 13","20/01/2020"
"Teen Wolf: Season 5: Required Reading","20/01/2020"
"Teen Wolf: Season 5: A Novel Approach","20/01/2020"
"Call Me by Your Name","19/01/2020"
"Sex Education: Season 2: Episode 2","19/01/2020"
"Fifty Shades Freed","18/01/2020"
"Sex Education: Season 2: Episode 1","18/01/2020"
"Power: Season 6: Episode 12","14/01/2020"
"Titans: Season 2: Nightwing","13/01/2020"
"Titans: Season 2: Faux-Hawk","13/01/2020"
"Titans: Season 2: E.L._.O.","13/01/2020"
"Titans: Season 2: Fallen","13/01/2020"
"Titans: Season 2: Atonement","13/01/2020"
"Titans: Season 2: Jericho","13/01/2020"
"Titans: Season 2: Bruce Wayne","12/01/2020"
"Titans: Season 2: Conner","12/01/2020"
"Titans: Season 2: Deathstroke","12/01/2020"
"Titans: Season 2: Aqualad","12/01/2020"
"You: Season 2: Just the Tip","12/01/2020"
"Titans: Season 2: Ghosts","12/01/2020"
"Titans: Season 2: Rose","12/01/2020"
"Titans: Season 2: Trigon","12/01/2020"
"Barbie Life in the Dreamhouse: Season 1: Best of Dreamhouse","12/01/2020"
"You: Season 2: A Fresh Start","12/01/2020"
"A Series of Unfortunate Events: Season 3: Slippery Slope: Part 1","11/01/2020"
"A Series of Unfortunate Events: Season 2: Carnivorous Carnival: Part 2","11/01/2020"
"A Series of Unfortunate Events: Season 2: Carnivorous Carnival: Part 1","11/01/2020"
"A Series of Unfortunate Events: Season 2: The Hostile Hospital: Part 2","11/01/2020"
"A Series of Unfortunate Events: Season 2: The Hostile Hospital: Part 1","11/01/2020"
"A Series of Unfortunate Events: Season 2: The Vile Village: Part 2","11/01/2020"
"A Series of Unfortunate Events: Season 2: The Vile Village: Part 1","10/01/2020"
"A Series of Unfortunate Events: Season 2: The Ersatz Elevator: Part 2","10/01/2020"
"Daddy Day Care","10/01/2020"
"Shrek","10/01/2020"
"The Good Place: Season 4: You've Changed, Man","10/01/2020"
"Orange Is the New Black: Season 6: Break the String","10/01/2020"
